Time (s),FP1_Filtered,FP2_Filtered
0.0,8270.276344108568,-8179.839772095792
0.00391,8330.372786975538,-8143.481461910675
0.00781,8377.306294769789,-8115.075913929186
0.0117,8403.28574019364,-8099.186971520845
0.0156,8409.476263999119,-8095.012900184634
0.0195,8404.053071439695,-8097.707481028087
0.0234,8396.480114519347,-8101.760290140148
0.0273,8392.84392898697,-8103.696231864979
0.0313,8395.204444173121,-8102.5268766361005
0.0352,8403.065431276542,-8098.914270144875
0.0391,8414.237209419733,-8094.445502501515
0.0439,8425.569556972714,-8090.940788947526
0.0479,8434.784479389531,-8089.423466140029
0.0518,8441.900691470462,-8089.561205989042
0.0557,8448.35311139272,-8090.321169426934
0.0596,8455.20454693649,-8090.960570828333
0.0635,8462.954578024935,-8091.138877486357
0.0674,8472.326369408023,-8090.534796983322
0.0713,8483.813812294042,-8089.011658399309
0.0752,8496.56713430755,-8086.998724536915
0.0791,8508.969316688252,-8085.05412259606
0.084,8520.4504839885,-8082.994584207615
0.0879,8531.776471722495,-8079.94387444294
0.0918,8543.57238277893,-8075.3030587784715
0.0957,8555.693383833988,-8069.292143938889
0.0996,8568.15605189436,-8062.6275768229125
0.104,8581.376270434663,-8056.250752541219
0.107,8594.948122182894,-8051.402720227633
0.111,8607.250744425522,-8049.21404078452
0.115,8616.947036684092,-8049.759107478893
0.119,8624.103399361658,-8051.860682825494
0.123,8629.368678237855,-8054.151110134383
0.128,8633.0691659294,-8056.104069313924
0.132,8635.879156706442,-8057.977089083638
0.136,8639.404276008832,-8060.330684457099
0.14,8644.931605703805,-8063.964040729836
0.144,8652.0461710723,-8069.746069158989
0.147,8659.374163712213,-8077.788125426445
0.151,8666.209665138073,-8086.885152353136
0.155,8672.531771018266,-8095.232155354744
0.159,8678.056368529655,-8101.621017606627
0.163,8682.562143241223,-8105.698479922446
0.168,8686.911427590538,-8107.486497217012
0.172,8692.446569295913,-8107.33709800469
0.176,8699.264884920152,-8106.236500592899
0.18,8706.127163418632,-8105.40800857745
0.184,8712.187488192398,-8105.348819313411
0.188,8717.877764957513,-8105.563543651949
0.191,8724.094548773068,-8105.224557050025
0.195,8731.673284923716,-8103.690430075634
0.199,8741.765877763053,-8100.541164152481
0.203,8755.160230792735,-8095.948878750348
0.207,8770.231438497083,-8091.395052960619
0.212,8782.470112951121,-8089.4158166059015
0.216,8787.283459247928,-8091.909686805743
0.22,8783.57267162421,-8098.496626043191
0.224,8774.78739309871,-8106.487932156789
0.228,8766.986801219971,-8112.40340458709
0.231,8765.405993004479,-8113.962980451257
0.235,8771.446668819826,-8111.408370394998
0.239,8782.258387358817,-8107.184657457255
0.243,8793.491946373804,-8104.052508385978
0.247,8802.451347801112,-8103.309866251372
0.252,8808.569852662762,-8104.67690427499
0.256,8812.034780785485,-8107.2985554354855
0.26,8813.401172646867,-8110.311768371255
0.264,8814.183558478657,-8112.813593216991
0.268,8816.23201892302,-8114.149953673343
0.271,8820.11605770258,-8114.435641954449
0.275,8824.989968701208,-8114.326051957282
0.279,8830.078254001672,-8114.176450581762
0.283,8835.236895732114,-8113.814513783114
0.287,8839.984072717645,-8113.105609114427
0.292,8843.319783545667,-8112.157955459773
